file,team_id,player,owner,event,rank,date,pokepaste,species
646_whimsicott-miraidon.txt,I1158,Chen Chih-Chun,toootvgc,Worlds 2025 Anaheim,308th,19 Aug 2025,https://pokepast.es/c5d1f5386e9dab5e,Whimsicott / Miraidon / Incineroar / Urshifu-Rapid-Strike / Ursaluna-Bloodmoon / Calyrex-Shadow
647_tornadus-groudon.txt,I1163,kogepan,kogepannachan,Worlds 2025 Anaheim,222nd,18 Aug 2025,https://pokepast.es/ce1da57aaaba8516,Tornadus / Groudon / Lunala / Raging Bolt / Smeargle / Ogerpon-Hearthflame
648_incineroar-rillaboom.txt,I1213,Hirofumi Kimura,hirosipoke,Worlds 2025 Anaheim,3rd,18 Aug 2025,https://pokepast.es/d06d5ca3ef27d0f4,Incineroar / Rillaboom / Landorus / Smeargle / Koraidon / Calyrex-Ice
649_miraidon-rillaboom.txt,I1175,tobo_oce,tobo_oce,Worlds 2025 Anaheim,85th,19 Aug 2025,https://pokepast.es/d73a1116c8cd2434,Miraidon / Rillaboom / Zamazenta / Volcarona / Ogerpon / Chien-Pao
650_urshifurapidstrike-ursaluna.txt,I1188,Yan Sym,hellraiser_vgc,Worlds 2025 Anaheim,38th,18 Aug 2025,https://pokepast.es/e37219f190f021c7,Urshifu-Rapid-Strike / Ursaluna / Lunala / Incineroar / Miraidon / Whimsicott
652_calyrexice-miraidon.txt,I1170,Yuta Ishigaki,btrickroomz,Worlds 2025 Anaheim,157th,18 Aug 2025,https://pokepast.es/edf966caf4bd837c,Calyrex-Ice / Miraidon / Urshifu-Rapid-Strike / Incineroar / Landorus / Farigiraf
653_calyrexshadow-koraidon.txt,I1161,Tomoki Kinoshita,kinop_oke6,Worlds 2025 Anaheim,292nd,19 Aug 2025,https://pokepast.es/ef9b17a839a93391,Calyrex-Shadow / Koraidon / Flutter Mane / Incineroar / Rillaboom / Clefairy
654_koraidon-calyrexice.txt,I1167,Ryan Loseto,sableyevgc,Worlds 2025 Anaheim,170th,19 Aug 2025,https://pokepast.es/f2f9c1b1c1e7d3a9,Koraidon / Calyrex-Ice / Incineroar / Chi-Yu / Flutter Mane / Ogerpon-Cornerstone
655_zamazenta-calyrexshadow.txt,I1204,Naoto Kishida,chan_naaa_chan,Worlds 2025 Anaheim,12th,18 Aug 2025,https://pokepast.es/f946591c9a0c8b85,Zamazenta / Calyrex-Shadow / Clefairy / Incineroar / Rillaboom / Grimmsnarl
656_calyrexice-miraidon.txt,I1178,hampoke79813,hampoke79813,Worlds 2025 Anaheim,75th,18 Aug 2025,https://pokepast.es/ff5c7e93ffc23582,Calyrex-Ice / Miraidon / Urshifu-Rapid-Strike / Incineroar / Landorus / Farigiraf
657_whimsicott-miraidon.txt,I1153,yes_no_poke,yes_no_poke,Worlds 2025 Anaheim (Seniors),5th,18 Aug 2025,https://pokepast.es/0bffe74cf89896b3,Whimsicott / Miraidon / Urshifu-Rapid-Strike / Incineroar / Ursaluna / Lunala
658_incineroar-zamazenta.txt,I1155,sian0230,sian0230,Worlds 2025 Anaheim (Seniors),Runner Up,19 Aug 2025,https://pokepast.es/375de6e5a1590f06,Incineroar / Zamazenta / Ogerpon-Hearthflame / Raging Bolt / Calyrex-Shadow / Rillaboom
659_ironbundle-volcarona.txt,I1151,hal3709,hal3709,Worlds 2025 Anaheim (Seniors),16th,18 Aug 2025,https://pokepast.es/4618384bae47d5e0,Iron Bundle / Volcarona / Zamazenta / Ursaluna-Bloodmoon / Farigiraf / Miraidon
660_miraidon-calyrexshadow.txt,I1149,lo9,lo9,Worlds 2025 Anaheim (Seniors),59th,18 Aug 2025,https://pokepast.es/77a2c1740324fb15,Miraidon / Calyrex-Shadow / Volcarona / Incineroar / Clefairy / Rillaboom
661_lunala-groudon.txt,I1147,fireb7799,fireb7799,Worlds 2025 Anaheim (Seniors),,18 Aug 2025,https://pokepast.es/8fc2d8bc73b10c60,Lunala / Groudon / Ogerpon-Hearthflame / Flutter Mane / Whimsicott / Meowstic
662_miraidon-urshifurapidstrike.txt,I1148,dennezumi151,dennezumi151,Worlds 2025 Anaheim (Seniors),99th,18 Aug 2025,https://pokepast.es/ad9d370f71b3b927,Miraidon / Urshifu-Rapid-Strike / Vikavolt / Calyrex-Shadow / Smeargle / Tornadus
664_calyrexshadow-zamazenta.txt,I1150,Ryu,ryu_poke197,Worlds 2025 Anaheim (Seniors),21st,19 Aug 2025,https://pokepast.es/f57b38be2db82b2c,Calyrex-Shadow / Zamazenta / Chien-Pao / Raging Bolt / Ogerpon-Hearthflame / Whimsicott
665_miraidon-glimmora.txt,I87,Decopon,decopon_poke,Yashi-Off,-,19 Apr 2025,https://pokepast.es/2ed579738b5d1cc8,Miraidon / Glimmora / Calyrex-Ice / Urshifu / Sinistcha / Incineroar
666_miraidon-calyrexice.txt,I94,Yuta Ishigaki,btrickroomz,Yashi-Off,-,20 Apr 2025,https://pokepast.es/3e306c624018982e,Miraidon / Calyrex-Ice / Iron Valiant / Volcarona / Urshifu-Rapid-Strike / Farigiraf
667_vaporeon-koraidon.txt,I86,cancercamp99999,cancercamp99999,Yashi-Off,-,19 Apr 2025,https://pokepast.es/70c674f7bd769c91,Vaporeon / Koraidon / Lunala / Ogerpon-Hearthflame / Indeedee-F / Raging Bolt
668_braixen-miraidon.txt,I92,chrono_876,chrono_876,Yashi-Off,16th,19 Apr 2025,https://pokepast.es/83aa9720c806dc50,Braixen / Miraidon / Calyrex-Ice / Amoonguss / Landorus-Therian / Grimmsnarl
669_calyrexshadow-zamazenta.txt,I91,toshiniki,toshi_kyogre,Yashi-Off,29th,19 Apr 2025,https://pokepast.es/e5b6418c8464ed2e,Calyrex-Shadow / Zamazenta / Tornadus / Urshifu-Rapid-Strike / Rillaboom / Chien-Pao
